candidate	norm	phase	value
panel	0.0000	0.00000	-1.000000000
panel	0.0000	0.01562	-0.968750000
panel	0.0000	0.03125	-0.937500000
panel	0.0000	0.04688	-0.906250000
panel	0.0000	0.06250	-0.875000000
panel	0.0000	0.07812	-0.843750000
panel	0.0000	0.09375	-0.812500000
panel	0.0000	0.10938	-0.781250000
panel	0.0000	0.12500	-0.750000000
panel	0.0000	0.14062	-0.718750000
panel	0.0000	0.15625	-0.687500000
panel	0.0000	0.17188	-0.656250000
panel	0.0000	0.18750	-0.625000000
panel	0.0000	0.20312	-0.593750000
panel	0.0000	0.21875	-0.562500000
panel	0.0000	0.23438	-0.531250000
panel	0.0000	0.25000	-0.500000000
panel	0.0000	0.26562	-0.468750000
panel	0.0000	0.28125	-0.437500000
panel	0.0000	0.29688	-0.406250000
panel	0.0000	0.31250	-0.375000000
panel	0.0000	0.32812	-0.343750000
panel	0.0000	0.34375	-0.312500000
panel	0.0000	0.35938	-0.281250000
panel	0.0000	0.37500	-0.250000000
panel	0.0000	0.39062	-0.218750000
panel	0.0000	0.40625	-0.187500000
panel	0.0000	0.42188	-0.156250000
panel	0.0000	0.43750	-0.125000000
panel	0.0000	0.45312	-0.093750000
panel	0.0000	0.46875	-0.062500000
panel	0.0000	0.48438	-0.031250000
panel	0.0000	0.50000	0.000000000
panel	0.0000	0.51562	0.031250000
panel	0.0000	0.53125	0.062500000
panel	0.0000	0.54688	0.093750000
panel	0.0000	0.56250	0.125000000
panel	0.0000	0.57812	0.156250000
panel	0.0000	0.59375	0.187500000
panel	0.0000	0.60938	0.218750000
panel	0.0000	0.62500	0.250000000
panel	0.0000	0.64062	0.281250000
panel	0.0000	0.65625	0.312500000
panel	0.0000	0.67188	0.343750000
panel	0.0000	0.68750	0.375000000
panel	0.0000	0.70312	0.406250000
panel	0.0000	0.71875	0.437500000
panel	0.0000	0.73438	0.468750000
panel	0.0000	0.75000	0.500000000
panel	0.0000	0.76562	0.531250000
panel	0.0000	0.78125	0.562500000
panel	0.0000	0.79688	0.593750000
panel	0.0000	0.81250	0.625000000
panel	0.0000	0.82812	0.656250000
panel	0.0000	0.84375	0.687500000
panel	0.0000	0.85938	0.718750000
panel	0.0000	0.87500	0.750000000
panel	0.0000	0.89062	0.781250000
panel	0.0000	0.90625	0.812500000
panel	0.0000	0.92188	0.843750000
panel	0.0000	0.93750	0.875000000
panel	0.0000	0.95312	0.906250000
panel	0.0000	0.96875	0.937500000
panel	0.0000	0.98438	0.968750000
panel	0.1250	0.00000	-0.147630413
panel	0.1250	0.01562	-0.143016962
panel	0.1250	0.03125	-0.138403512
panel	0.1250	0.04688	-0.133790061
panel	0.1250	0.06250	-0.129176611
panel	0.1250	0.07812	-0.124563161
panel	0.1250	0.09375	-0.119949710
panel	0.1250	0.10938	-0.115336260
panel	0.1250	0.12500	-0.110722809
panel	0.1250	0.14062	-0.106109359
panel	0.1250	0.15625	-0.101495909
panel	0.1250	0.17188	-0.096882458
panel	0.1250	0.18750	-0.092269008
panel	0.1250	0.20312	-0.087655557
panel	0.1250	0.21875	-0.083042107
panel	0.1250	0.23438	-0.078428657
panel	0.1250	0.25000	-0.073815206
panel	0.1250	0.26562	-0.069201756
panel	0.1250	0.28125	-0.064588305
panel	0.1250	0.29688	-0.059974855
panel	0.1250	0.31250	-0.055361405
panel	0.1250	0.32812	-0.050747954
panel	0.1250	0.34375	-0.046134504
panel	0.1250	0.35938	-0.041521054
panel	0.1250	0.37500	-0.036907603
panel	0.1250	0.39062	-0.032294153
panel	0.1250	0.40625	-0.027680702
panel	0.1250	0.42188	-0.023067252
panel	0.1250	0.43750	-0.018453802
panel	0.1250	0.45312	-0.013840351
panel	0.1250	0.46875	-0.009226901
panel	0.1250	0.48438	-0.004613450
panel	0.1250	0.50000	0.000000000
panel	0.1250	0.51562	0.004613450
panel	0.1250	0.53125	0.009226901
panel	0.1250	0.54688	0.013840351
panel	0.1250	0.56250	0.018453802
panel	0.1250	0.57812	0.023067252
panel	0.1250	0.59375	0.027680702
panel	0.1250	0.60938	0.032294153
panel	0.1250	0.62500	0.036907603
panel	0.1250	0.64062	0.041521054
panel	0.1250	0.65625	0.046134504
panel	0.1250	0.67188	0.050747954
panel	0.1250	0.68750	0.055361405
panel	0.1250	0.70312	0.059974855
panel	0.1250	0.71875	0.064588305
panel	0.1250	0.73438	0.069201756
panel	0.1250	0.75000	0.073815206
panel	0.1250	0.76562	0.078428657
panel	0.1250	0.78125	0.083042107
panel	0.1250	0.79688	0.087655557
panel	0.1250	0.81250	0.092269008
panel	0.1250	0.82812	0.096882458
panel	0.1250	0.84375	0.101495909
panel	0.1250	0.85938	0.106109359
panel	0.1250	0.87500	0.110722809
panel	0.1250	0.89062	0.115336260
panel	0.1250	0.90625	0.119949710
panel	0.1250	0.92188	0.124563161
panel	0.1250	0.93750	0.129176611
panel	0.1250	0.95312	0.133790061
panel	0.1250	0.96875	0.138403512
panel	0.1250	0.98438	0.143016962
panel	0.2500	0.00000	0.704739175
panel	0.2500	0.01562	0.682716076
panel	0.2500	0.03125	0.660692976
panel	0.2500	0.04688	0.638669877
panel	0.2500	0.06250	0.616646778
panel	0.2500	0.07812	0.594623679
panel	0.2500	0.09375	0.572600580
panel	0.2500	0.10938	0.550577480
panel	0.2500	0.12500	0.528554381
panel	0.2500	0.14062	0.506531282
panel	0.2500	0.15625	0.484508183
panel	0.2500	0.17188	0.462485084
panel	0.2500	0.18750	0.440461984
panel	0.2500	0.20312	0.418438885
