sr	candidate	norm	peakA	rmsA	peakB	rmsB
96000	equal	0.7750	0.498862710	0.263711562	0.499429126	0.292840752
96000	equal	0.8000	0.498989075	0.254834244	0.499327935	0.264693037
96000	equal	0.8250	0.499115441	0.257877282	0.499261253	0.252954963
96000	equal	0.8500	0.499241807	0.272441534	0.499284766	0.254802972
96000	equal	0.8750	0.499368172	0.296835953	0.498543950	0.269331977
96000	equal	0.9000	0.499494538	0.328880333	0.498852524	0.295869073
96000	equal	0.9250	0.499620903	0.366573949	0.499505965	0.332746919
96000	equal	0.9500	0.499747269	0.408355413	0.499452493	0.379084717
96000	equal	0.9750	0.499873634	0.453095270	0.499823530	0.434833777
96000	equal	1.0000	0.500000000	0.500000000	0.500000000	0.500000000
44100	panel	0.0000	0.499546485	0.292840203	0.499956191	0.346349624
44100	panel	0.0250	0.414386839	0.242918587	0.414750202	0.274696392
44100	panel	0.0500	0.329227193	0.192996970	0.329369109	0.209556124
44100	panel	0.0750	0.244067546	0.143075353	0.244132910	0.150131023
44100	panel	0.1000	0.158907900	0.093153737	0.158783658	0.095235188
44100	panel	0.1250	0.073748254	0.043232120	0.073810849	0.043478222
44100	panel	0.1500	0.011411393	0.006689497	0.011409264	0.006688538
44100	panel	0.1750	0.096571039	0.056611113	0.096463673	0.056896509
44100	panel	0.2000	0.181730685	0.106532730	0.181641449	0.108778487
44100	panel	0.2250	0.266890332	0.156454347	0.266924950	0.163882105
44100	panel	0.2500	0.352049978	0.206375963	0.352314176	0.223602186
44100	panel	0.2750	0.437209624	0.256297580	0.437403966	0.289140388
44100	panel	0.3000	0.454077608	0.291579908	0.454252190	0.331839145
44100	panel	0.3250	0.377192594	0.299380975	0.377192665	0.314940620
44100	panel	0.3500	0.444818435	0.325338943	0.444818327	0.318467080
44100	panel	0.3750	0.490879172	0.344601640	0.490877678	0.323955045
44100	panel	0.4000	0.463859205	0.326110784	0.463856378	0.314682125
44100	panel	0.4250	0.437618463	0.308538006	0.437617912	0.304569923
44100	panel	0.4500	0.412317205	0.292049078	0.412317283	0.293785189
44100	panel	0.4750	0.388166590	0.276837734	0.388167212	0.282610521
44100	panel	0.5000	0.365452965	0.263125642	0.365452903	0.271435912
44100	panel	0.5250	0.344569949	0.251158476	0.344569914	0.260744991
44100	panel	0.5500	0.326090274	0.241196107	0.326090206	0.251095026
44100	panel	0.5750	0.310889724	0.233495286	0.310889724	0.243089268
44100	panel	0.6000	0.300430399	0.228284997	0.300430689	0.237340943
44100	panel	0.6250	0.297593666	0.225737759	0.297593659	0.234430860
44100	panel	0.6500	0.312710274	0.225943658	0.312849988	0.234865348
44100	panel	0.6750	0.339650036	0.228895264	0.339621476	0.239044670
44100	panel	0.7000	0.366747077	0.234488918	0.366837038	0.247249986
44100	panel	0.7250	0.393952934	0.242541888	0.394219202	0.259645499
44100	panel	0.7500	0.421241758	0.252819279	0.421639316	0.276275735
44100	panel	0.7750	0.448609755	0.265062469	0.449423939	0.297010344
44100	panel	0.8000	0.475990664	0.279012799	0.477322839	0.321261722
44100	panel	0.8250	0.497953852	0.283856209	0.499440146	0.329772105
44100	panel	0.8500	0.498246159	0.258686817	0.498634842	0.279944325
44100	panel	0.8750	0.498538466	0.256677045	0.498439817	0.254974107
44100	panel	0.9000	0.498830772	0.278329043	0.498499964	0.257049509
44100	panel	0.9250	0.499123079	0.318858465	0.499275925	0.285241293
44100	panel	0.9500	0.499415386	0.372147954	0.499373861	0.335981093
44100	panel	0.9750	0.499707693	0.433517235	0.499910611	0.408451750
44100	panel	1.0000	0.500000000	0.500000000	0.500000000	0.500000000
48000	panel	0.0000	0.499166667	0.283389815	0.499957986	0.344008513
48000	panel	0.0250	0.414071770	0.235079243	0.414090428	0.271641601
48000	panel	0.0500	0.328976872	0.186768671	0.329499181	0.206345308
48000	panel	0.0750	0.243881975	0.138458099	0.244019883	0.147160240
48000	panel	0.1000	0.158787078	0.090147527	0.158992554	0.092915326
48000	panel	0.1250	0.073692181	0.041836955	0.073773843	0.042226067
48000	panel	0.1500	0.011402716	0.006473617	0.011400761	0.006469391
48000	panel	0.1750	0.096497613	0.054784189	0.096432908	0.054849435
48000	panel	0.2000	0.181592511	0.103094761	0.181497039	0.104617208
48000	panel	0.2250	0.266687408	0.151405333	0.266585812	0.157403582
48000	panel	0.2500	0.351782305	0.199715905	0.351736041	0.214686324
48000	panel	0.2750	0.436877202	0.248026476	0.437070488	0.277739741
48000	panel	0.3000	0.453841378	0.283273218	0.454011278	0.321676366
48000	panel	0.3250	0.377192702	0.295197872	0.377192686	0.314071712
48000	panel	0.3500	0.444818552	0.324513388	0.444818576	0.323372112
48000	panel	0.3750	0.490875912	0.345487209	0.490879481	0.330657539
48000	panel	0.4000	0.463859490	0.327176820	0.463859512	0.320821940
48000	panel	0.4250	0.437618548	0.309772281	0.437618472	0.310143111
48000	panel	0.4500	0.412317280	0.293434821	0.412317066	0.298792411
48000	panel	0.4750	0.388167186	0.278352397	0.388167188	0.287059607
48000	panel	0.5000	0.365452652	0.264739596	0.365452940	0.275344744
48000	panel	0.5250	0.344569931	0.252833907	0.344569638	0.264144681
48000	panel	0.5500	0.326090207	0.242886496	0.326090265	0.254033320
48000	panel	0.5750	0.310889560	0.235146016	0.310889661	0.245633939
48000	panel	0.6000	0.300430719	0.229835555	0.300430612	0.239582538
48000	panel	0.6250	0.297593650	0.227125625	0.297593675	0.236483879
48000	panel	0.6500	0.312692092	0.227109338	0.312788914	0.236866820
48000	panel	0.6750	0.339675713	0.229787265	0.339688969	0.241149843
48000	panel	0.7000	0.366818622	0.235067345	0.366891098	0.249625481
48000	panel	0.7250	0.394055305	0.242779861	0.394324725	0.262461320
48000	panel	0.7500	0.421367427	0.252702194	0.421829054	0.279696562
48000	panel	0.7750	0.448679548	0.264585848	0.449563866	0.301184653
48000	panel	0.8000	0.476033503	0.278179578	0.477412784	0.326303582
48000	panel	0.8250	0.497901328	0.282983410	0.499478328	0.335203896
48000	panel	0.8500	0.498201139	0.258980177	0.498459849	0.283924231
48000	panel	0.8750	0.498500949	0.257855761	0.498540237	0.257894388
48000	panel	0.9000	0.498800759	0.279886039	0.498605971	0.259695803
48000	panel	0.9250	0.499100569	0.320328794	0.497222307	0.286656996
48000	panel	0.9500	0.499400380	0.373246055	0.498032863	0.337165272
48000	panel	0.9750	0.499700190	0.434099572	0.499503547	0.408615914
48000	panel	1.0000	0.500000000	0.500000000	0.500000000	0.500000000
88200	panel	0.0000	0.499773243	0.285422097	0.499987557	0.357778072
88200	panel	0.0250	0.414574940	0.236765074	0.414637068	0.281733312
88200	panel	0.0500	0.329376638	0.188108051	0.329282645	0.213113417
88200	panel	0.0750	0.244178335	0.139451028	0.244163467	0.151183215
88200	panel	0.1000	0.158980033	0.090794005	0.158894903	0.094854930
88200	panel	0.1250	0.073781730	0.042136982	0.073799275	0.042803986
88200	panel	0.1500	0.011416573	0.006520041	0.011415390	0.006509251
88200	panel	0.1750	0.096614875	0.055177064	0.096530155	0.054784411
88200	panel	0.2000	0.181813178	0.103834087	0.181513159	0.103797291
88200	panel	0.2250	0.267011480	0.152491110	0.266495634	0.155295000
88200	panel	0.2500	0.352209783	0.201148133	0.351720149	0.210897048
88200	panel	0.2750	0.437408085	0.249805156	0.437036976	0.272023793
88200	panel	0.3000	0.454218641	0.285002007	0.453987851	0.314783679
88200	panel	0.3250	0.377192102	0.295650723	0.377192674	0.310093328
88200	panel	0.3500	0.444818435	0.323659643	0.444818557	0.324109044
88200	panel	0.3750	0.490879172	0.343761727	0.490879467	0.334583855
88200	panel	0.4000	0.463859620	0.325249902	0.463859552	0.323466177
88200	panel	0.4250	0.437618463	0.307669352	0.437618417	0.311735384
88200	panel	0.4500	0.412317205	0.291188804	0.412317066	0.299578765
88200	panel	0.4750	0.388166100	0.276005375	0.388167213	0.287286770
88200	panel	0.5000	0.365452965	0.262344377	0.365452009	0.275246474
88200	panel	0.5250	0.344569949	0.250455057	0.344567128	0.263929875
88200	panel	0.5500	0.326090102	0.240600201	0.326090177	0.253875941
88200	panel	0.5750	0.310889458	0.233038057	0.310889518	0.245664732
88200	panel	0.6000	0.300430643	0.227996870	0.300430631	0.239882841
88200	panel	0.6250	0.297593666	0.225645668	0.297593265	0.237081988
88200	panel	0.6500	0.312598302	0.226068398	0.312602704	0.237737393
88200	panel	0.6750	0.339806569	0.229249714	0.339856688	0.242215866
88200	panel	0.7000	0.367150719	0.235077646	0.367018452	0.250761620
88200	panel	0.7250	0.394582910	0.243362130	0.394723317	0.263496346
88200	panel	0.7500	0.422015100	0.253862780	0.421962867	0.280413818
88200	panel	0.7750	0.449486876	0.266317580	0.449882026	0.301322773
88200	panel	0.8000	0.476965109	0.280466314	0.477592197	0.325580692
88200	panel	0.8250	0.498976926	0.285504981	0.499307915	0.334076409
88200	panel	0.8500	0.499123079	0.260473797	0.499178754	0.285638772
88200	panel	0.8750	0.499269233	0.258377220	0.499094489	0.262074736
88200	panel	0.9000	0.499415386	0.279731410	0.498994929	0.265372986
88200	panel	0.9250	0.499561540	0.319873756	0.499339672	0.293625250
88200	panel	0.9500	0.499707693	0.372783398	0.499520621	0.342847847
88200	panel	0.9750	0.499853847	0.433813772	0.499738691	0.411671382
88200	panel	1.0000	0.500000000	0.500000000	0.500000000	0.500000000
96000	panel	0.0000	0.499375000	0.296910177	0.499989497	0.361570048
96000	panel	0.0250	0.414244587	0.246294736	0.414626849	0.286221428
96000	panel	0.0500	0.329114175	0.195679295	0.329486334	0.217776407
96000	panel	0.0750	0.243983762	0.145063854	0.244231982	0.155382854
96000	panel	0.1000	0.158853350	0.094448413	0.158958572	0.098002580
96000	panel	0.1250	0.073722937	0.043832972	0.073745600	0.044413294
96000	panel	0.1500	0.011407475	0.006782469	0.011406933	0.006773163
96000	panel	0.1750	0.096537888	0.057397910	0.096499027	0.057066590
96000	panel	0.2000	0.181668300	0.108013351	0.181530683	0.108032079
96000	panel	0.2250	0.266798713	0.158628792	0.266501901	0.161211827
96000	panel	0.2500	0.351929125	0.209244233	0.351412679	0.218050647
96000	panel	0.2750	0.437059538	0.259859674	0.436263020	0.279839398
96000	panel	0.3000	0.453970952	0.296138671	0.453382921	0.320869479
96000	panel	0.3250	0.377192552	0.305651452	0.377192325	0.308923432
96000	panel	0.3500	0.444818402	0.332971184	0.444818571	0.316271970
96000	panel	0.3750	0.490879516	0.352922333	0.490878787	0.323582066
96000	panel	0.4000	0.463859490	0.334380999	0.463859620	0.313470814
96000	panel	0.4250	0.437618260	0.316683302	0.437618502	0.302730395
96000	panel	0.4500	0.412316845	0.299978593	0.412316715	0.291509368
96000	panel	0.4750	0.388166677	0.284441875	0.388166423	0.280062708
96000	panel	0.5000	0.365452969	0.270274650	0.365452899	0.268745412
96000	panel	0.5250	0.344569846	0.257702879	0.344569859	0.258000580
96000	panel	0.5500	0.326090207	0.246970328	0.326090232	0.248340953
96000	panel	0.5750	0.310889560	0.238325604	0.310889163	0.240322352
96000	panel	0.6000	0.300430719	0.232002211	0.300430720	0.234508150
96000	panel	0.6250	0.297593650	0.228193207	0.297593662	0.231426644
96000	panel	0.6500	0.312579541	0.227025186	0.312637838	0.231527840
96000	panel	0.6750	0.339865914	0.228538645	0.339826963	0.235149781
96000	panel	0.7000	0.367227978	0.232681265	0.367071778	0.242581494
96000	panel	0.7250	0.394625554	0.239316550	0.394752644	0.254019797
96000	panel	0.7500	0.422023131	0.248244704	0.422288744	0.269514024
96000	panel	0.7750	0.449420707	0.259228927	0.449880044	0.288968267
96000	panel	0.8000	0.476850104	0.272020260	0.477656649	0.311948304
96000	panel	0.8250	0.498771446	0.276950452	0.499718865	0.320196218
96000	panel	0.8500	0.498946954	0.256495791	0.499363976	0.272655267
96000	panel	0.8750	0.499122461	0.258395221	0.499264475	0.252544842
96000	panel	0.9000	0.499297969	0.282197715	0.498897475	0.259740993
96000	panel	0.9250	0.499473477	0.323098238	0.499349906	0.290838889
96000	panel	0.9500	0.499648985	0.375551399	0.498962941	0.342065436
96000	panel	0.9750	0.499824492	0.435401764	0.499575544	0.412009934
96000	panel	1.0000	0.500000000	0.500000000	0.500000000	0.500000000
