id	path	signal	sr_hz	f_target_hz	side	duty_param	morph	pw_depth	lfo_wave	f0_meas_hz	phi0_model	peak	channel	cable	warm	win	raw	samples	src
vco_a_sawmix_48000_440_m43750	vco_a_sawmix	-	48000.000000	440.000000	a	0.5	0.4375	0	-	439.453125	3.2999999999999998	0.43961237742993392	dry_a	none	8192	16384	gh19_s6_scn106.raw	24576	-
vco_a_sawmix_88200_440_m43750	vco_a_sawmix	-	88200.000000	440.000000	a	0.5	0.4375	0	-	439.63623046875	1.7959183673469388	0.43961284032893333	dry_a	none	8192	16384	gh19_s6_scn107.raw	24576	-
vco_a_sawmix_96000_440_m43750	vco_a_sawmix	-	96000.000000	440.000000	a	0.5	0.4375	0	-	439.453125	1.6499999999999999	0.43961264557080426	dry_a	none	8192	16384	gh19_s6_scn108.raw	24576	-
vco_b_sawmix_44100_440_m31250	vco_b_sawmix	-	44100.000000	440.000000	b	0.5	0.3125	0	-	439.63623046875	3.5918367346938775	0.37613019012535148	dry_b	none	8192	16384	gh19_s6_scn109.raw	24576	-
vco_b_sawmix_48000_440_m31250	vco_b_sawmix	-	48000.000000	440.000000	b	0.5	0.3125	0	-	439.453125	3.2999999999999998	0.37613009903203576	dry_b	none	8192	16384	gh19_s6_scn110.raw	24576	-
vco_b_sawmix_88200_440_m31250	vco_b_sawmix	-	88200.000000	440.000000	b	0.5	0.3125	0	-	439.63623046875	1.7959183673469388	0.37613019012534715	dry_b	none	8192	16384	gh19_s6_scn111.raw	24576	-
vco_b_sawmix_96000_440_m31250	vco_b_sawmix	-	96000.000000	440.000000	b	0.5	0.3125	0	-	439.453125	1.6499999999999999	0.37613019687194787	dry_b	none	8192	16384	gh19_s6_scn112.raw	24576	-
vco_b_sawmix_44100_440_m37500	vco_b_sawmix	-	44100.000000	440.000000	b	0.5	0.375	0	-	439.63623046875	3.5918367346938775	0.38777530972963514	dry_b	none	8192	16384	gh19_s6_scn113.raw	24576	-
vco_b_sawmix_48000_440_m37500	vco_b_sawmix	-	48000.000000	440.000000	b	0.5	0.375	0	-	439.453125	3.2999999999999998	0.38777543583577556	dry_b	none	8192	16384	gh19_s6_scn114.raw	24576	-
vco_b_sawmix_88200_440_m37500	vco_b_sawmix	-	88200.000000	440.000000	b	0.5	0.375	0	-	439.63623046875	1.7959183673469388	0.38777530972958407	dry_b	none	8192	16384	gh19_s6_scn115.raw	24576	-
vco_b_sawmix_96000_440_m37500	vco_b_sawmix	-	96000.000000	440.000000	b	0.5	0.375	0	-	439.453125	1.6499999999999999	0.38777543583575075	dry_b	none	8192	16384	gh19_s6_scn116.raw	24576	-
vco_b_sawmix_44100_440_m43750	vco_b_sawmix	-	44100.000000	440.000000	b	0.5	0.4375	0	-	439.63623046875	3.5918367346938775	0.4396128403289436	dry_b	none	8192	16384	gh19_s6_scn117.raw	24576	-
vco_b_sawmix_48000_440_m43750	vco_b_sawmix	-	48000.000000	440.000000	b	0.5	0.4375	0	-	439.453125	3.2999999999999998	0.43961237742993392	dry_b	none	8192	16384	gh19_s6_scn118.raw	24576	-
