id	sr_hz	mode	res	norm	lvl	freq_hz	channel	amp_rms	amp_peak	f0_meas_hz	noise_rms	window	ok	signal
cutoff_norm_sr44100_r0_lvlmedium_n0_f7000	44100	lp	0	0	0.2	7000	wetL	4.52384972e-07	6.58384115e-07	6999.63684	4.86849331e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f7000	44100	lp	0.5	0	0.05	7000	wetL	1.14028561e-07	2.34463392e-07	6999.63684	1.2307671e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f7000	44100	lp	0.5	0	0.2	7000	wetL	4.54977611e-07	9.35404387e-07	6999.63684	4.91079983e-07	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f7000	44100	lp	1	0	0.05	7000	wetL	8.36761813e-06	2.34405676e-05	103.62854	8.36777352e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f7000	44100	lp	1	0	0.2	7000	wetL	3.33881581e-05	9.35315405e-05	103.62854	3.33887781e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f8000	44100	lp	0	0	0.05	8000	wetL	8.90781997e-08	1.29749457e-07	7999.58496	1.72757193e-07	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f8000	44100	lp	0	0	0.2	8000	wetL	3.55424707e-07	5.17581218e-07	7999.58496	6.89306397e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f8000	44100	lp	0.5	0	0.05	8000	wetL	8.96945462e-08	1.88728844e-07	7999.58496	1.73001876e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f8000	44100	lp	0.5	0	0.2	8000	wetL	3.57883502e-07	7.52894235e-07	7999.58496	6.90282458e-07	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f8000	44100	lp	1	0	0.05	8000	wetL	7.11053396e-06	1.99099668e-05	103.62854	7.1121178e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f8000	44100	lp	1	0	0.2	8000	wetL	2.83690742e-05	7.94352205e-05	103.62854	2.83753943e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f9000	44100	lp	0	0	0.05	9000	wetL	7.24907016e-08	1.05909955e-07	8999.53308	1.26589695e-07	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f9000	44100	lp	0	0	0.2	9000	wetL	2.89240105e-07	4.22476205e-07	8999.53308	5.05096702e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f9000	44100	lp	0.5	0	0.05	9000	wetL	7.30574091e-08	1.56754231e-07	8999.53308	1.26676739e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f9000	44100	lp	0.5	0	0.2	9000	wetL	2.91500127e-07	6.25302755e-07	8999.53308	5.05443338e-07	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f9000	44100	lp	1	0	0.05	9000	wetL	6.10537818e-06	1.7087397e-05	117.086792	6.10627773e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f9000	44100	lp	1	0	0.2	9000	wetL	2.43553466e-05	6.81643928e-05	117.086792	2.43589366e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f60	44100	lp	0	0.05	0.05	60	wetL	0.00231818041	0.00327605388	60.5621338	0.00107673504	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f60	44100	lp	0	0.05	0.2	60	wetL	0.00924960734	0.0130725517	60.5621338	0.00429619423	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f60	44100	lp	0.5	0.05	0.05	60	wetL	0.00307672052	0.0043414732	59.2163086	0.00321173227	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f60	44100	lp	0.5	0.05	0.2	60	wetL	0.0122762043	0.0173225508	59.2163086	0.0128148959	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f60	44100	lp	1	0.05	0.05	60	wetL	0.00384977893	0.00874996567	60.5621338	0.00637428814	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f60	44100	lp	1	0.05	0.2	60	wetL	0.0153611226	0.0349143665	60.5621338	0.0254337651	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f100	44100	lp	0	0.05	0.05	100	wetL	0.000943205934	0.00133580033	100.93689	0.0013389641	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f100	44100	lp	0	0.05	0.2	100	wetL	0.0037634201	0.00532982905	100.93689	0.00534250507	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f100	44100	lp	0.5	0.05	0.05	100	wetL	0.00105294527	0.0014908532	99.5910645	0.00109888084	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f100	44100	lp	0.5	0.05	0.2	100	wetL	0.00420128358	0.00594818989	99.5910645	0.00438456571	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f100	44100	lp	1	0.05	0.05	100	wetL	0.00129422583	0.00336783445	94.2077637	0.000884814286	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f100	44100	lp	1	0.05	0.2	100	wetL	0.0051643675	0.0134391804	94.2077637	0.00353096458	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f200	44100	lp	0	0.05	0.05	200	wetL	0.00025040815	0.000353784676	199.182129	0.000363546417	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f200	44100	lp	0	0.05	0.2	200	wetL	0.000999135947	0.0014115143	199.182129	0.00145056084	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f200	44100	lp	0.5	0.05	0.05	200	wetL	0.000257244463	0.000363907758	199.182129	0.00041651434	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f200	44100	lp	0.5	0.05	0.2	200	wetL	0.00102641303	0.00145188149	199.182129	0.00166190444	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f200	44100	lp	1	0.05	0.05	200	wetL	0.000411915352	0.00144884266	160.153198	0.000555428651	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f200	44100	lp	1	0.05	0.2	200	wetL	0.00164382559	0.0057819696	160.153198	0.0022163745	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f400	44100	lp	0	0.05	0.05	400	wetL	6.35163334e-05	8.97968895e-05	399.710083	5.80305042e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f400	44100	lp	0	0.05	0.2	400	wetL	0.000253432063	0.000358261229	399.710083	0.000231543442	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f400	44100	lp	0.5	0.05	0.05	400	wetL	6.38553543e-05	9.04792923e-05	399.710083	6.58094341e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f400	44100	lp	0.5	0.05	0.2	400	wetL	0.000254784767	0.000360982376	399.710083	0.000262581606	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0p05_f400	44100	lp	1	0.05	0.05	400	wetL	0.000170773896	0.000622543231	248.977661	0.000174784451	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0p05_f400	44100	lp	1	0.05	0.2	400	wetL	0.000681554265	0.00248451912	248.977661	0.000697553204	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0p05_f800	44100	lp	0	0.05	0.05	800	wetL	1.59450648e-05	2.25529868e-05	800.765991	1.26800356e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0p05_f800	44100	lp	0	0.05	0.2	800	wetL	6.36212896e-05	8.99788395e-05	800.765991	5.05937186e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0p05_f800	44100	lp	0.5	0.05	0.05	800	wetL	1.59437335e-05	2.26611548e-05	800.765991	1.16872163e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0p05_f800	44100	lp	0.5	0.05	0.2	800	wetL	6.36159781e-05	9.04105969e-05	800.765991	4.66323398e-05	16384	1	-
